date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2021-01-05,TUR,8975,2848,855,5272,5436,227,8748,267,46,341,0.147,288,0,5,262,0,1,26,15,4,0.5438,0.0519,0.4607,0.8134,0.1688,0.2,0.1677,,2270101.0,14494.0,21879.0,194.0,25315565.0,183413.0,,,
2021-01-06,TUR,10882,2747,756,7379,7542,197,10685,169,65,340,0.2778,280,0,6,163,0,5,51,4,5,0.6172,0.6725,0.3821,0.2066,0.3459,0.25,0.351,,2283931.0,13830.0,22070.0,191.0,25498210.0,182645.0,,,
2021-01-07,TUR,9497,2616,650,6231,6273,189,9308,264,33,178,0.1111,136,0,23,241,0,4,19,4,6,0.5228,0.6421,0.0,0.0565,0.0934,0.0,0.095,,2296102.0,12171.0,22264.0,194.0,25681213.0,183003.0,,,
2021-01-08,TUR,8605,2683,641,5281,5248,237,8368,225,50,153,0.1818,104,0,13,212,0,5,23,9,13,0.9002,0.9467,0.0,0.1514,0.1623,0.0,0.1786,,2307581.0,11479.0,22450.0,186.0,25865406.0,184193.0,,,
2021-01-09,TUR,8262,2276,732,5254,5363,144,8118,179,32,234,0.1517,91,0,9,170,0,7,14,9,2,0.5674,0.7427,0.0246,0.0626,0.1571,0.4286,0.1429,,2317118.0,9537.0,22631.0,181.0,26033695.0,168289.0,,,
2021-01-10,TUR,11282,2505,771,8006,8408,155,11127,153,51,150,0.25,83,0,23,130,0,4,28,9,10,0.8341,0.8659,0.1065,0.1712,0.2577,0.0909,0.2791,,2326256.0,9138.0,22807.0,176.0,26196481.0,162786.0,,,
2021-01-11,TUR,11600,3074,899,7627,8562,244,11356,178,62,166,0.2583,127,0,6,172,0,2,41,14,5,0.7118,0.8166,0.356,0.1392,0.2771,0.1538,0.2876,,2336476.0,10220.0,22981.0,174.0,26376784.0,180303.0,,,
2021-01-12,TUR,12269,3121,848,8300,8832,243,12026,300,54,201,0.1525,150,0,16,284,0,8,31,7,8,0.6941,0.7683,0.0793,0.0531,0.1521,0.2727,0.1456,,2346285.0,9809.0,23152.0,171.0,26555992.0,179208.0,,,
2021-01-13,TUR,11882,3311,919,7652,8108,260,11622,307,55,254,0.1519,191,0,10,297,1,20,25,3,6,0.6104,0.8486,0.1723,0.0399,0.1306,0.1667,0.1289,,2355839.0,9554.0,23325.0,173.0,26729595.0,173603.0,,,
2021-01-14,TUR,14996,5003,1133,8765,9976,316,14585,208,55,338,0.2091,238,0,12,196,0,11,37,4,3,0.747,0.8277,0.8373,0.1821,0.2013,0.2222,0.2,,2364801.0,8962.0,23495.0,170.0,26899442.0,169847.0,,,
2021-01-15,TUR,16179,4198,852,10787,12215,361,15476,247,73,229,0.2281,150,0,19,228,0,2,46,17,8,0.4125,0.4418,0.0111,0.2904,0.2474,0.375,0.2419,,2373115.0,8314.0,23664.0,169.0,27066653.0,167211.0,,,
2021-01-16,TUR,12074,2893,840,8030,8633,166,11597,228,109,214,0.3234,149,0,14,214,1,8,68,17,15,0.6489,0.7801,0.1478,0.187,0.3148,0.2857,0.3158,,2380665.0,7550.0,23832.0,168.0,27223445.0,156792.0,,,
2021-01-17,TUR,11069,2661,920,7210,7887,125,10666,171,165,193,0.4911,159,0,20,151,1,1,100,37,26,0.7416,0.7912,0.0026,0.5139,0.5282,0.1111,0.5439,,2387101.0,6436.0,23997.0,165.0,27372081.0,148636.0,,,
2021-01-18,TUR,10215,2687,616,6591,6999,191,9703,263,140,203,0.3474,153,0,7,256,0,3,115,11,11,0.7763,0.885,0.0,0.2569,0.331,0.0,0.3392,,2392963.0,5862.0,24161.0,164.0,27523423.0,151342.0,,,
2021-01-19,TUR,9259,2686,714,5635,5721,248,8787,165,87,208,0.3452,150,0,5,160,0,6,61,14,6,0.737,0.8535,0.19,0.1813,0.3704,0.3333,0.3725,,2399781.0,6818.0,24328.0,167.0,27698556.0,175133.0,,,
2021-01-20,TUR,9435,2860,716,5672,6526,200,9048,227,53,345,0.1893,310,0,15,212,2,1,41,3,6,0.6857,0.7435,0.1226,0.4583,0.199,0.375,0.1913,,2406216.0,6435.0,24487.0,159.0,27867450.0,168894.0,,,
2021-01-21,TUR,9010,2376,574,5833,5687,206,8577,207,83,156,0.2862,119,0,13,194,0,2,57,8,16,0.7478,0.8397,0.6077,0.1774,0.3218,0.4286,0.3179,,2412505.0,6289.0,24640.0,153.0,28032559.0,165109.0,,,
2021-01-22,TUR,9581,2718,644,5872,6119,176,9058,368,104,212,0.2203,174,0,13,355,0,3,94,1,6,0.7991,0.8644,0.1256,0.2111,0.2418,0.3529,0.2353,,2418472.0,5967.0,24789.0,149.0,28195901.0,163342.0,,,
2021-01-23,TUR,11743,2692,763,7387,8032,174,10668,279,67,145,0.1936,107,0,1,278,0,6,53,4,4,0.6963,0.7922,0.001,0.0862,0.181,0.0588,0.1907,,2424328.0,5856.0,24933.0,144.0,28348659.0,152758.0,,,
2021-01-24,TUR,10775,3107,675,6491,7037,146,10127,182,48,142,0.2087,101,0,13,169,0,2,26,13,7,0.8413,0.9359,0.6835,0.1405,0.2013,0.6667,0.1724,,2429605.0,5277.0,25073.0,140.0,28497084.0,148425.0,,,
2021-01-25,TUR,11980,3417,779,7246,7988,257,11185,236,77,318,0.246,257,0,6,230,0,1,45,27,4,0.6332,0.7313,0.0,0.4342,0.2804,0.0,0.2961,,2435247.0,5642.0,25210.0,137.0,28648193.0,151109.0,,,
2021-01-26,TUR,10291,2680,760,6834,6878,180,10094,275,66,197,0.1935,147,0,7,268,0,3,61,2,0,0.7477,0.8182,0.0117,0.4801,0.1625,0.1667,0.1622,,2442350.0,7103.0,25344.0,134.0,28828496.0,180303.0,,,
2021-01-27,TUR,10067,2881,682,6504,6223,189,9878,293,63,178,0.177,129,0,8,285,0,6,50,5,2,0.6005,0.6705,0.0249,0.1474,0.1779,0.4,0.1687,,2449839.0,7489.0,25476.0,132.0,29007915.0,179419.0,,,
2021-01-28,TUR,8645,2601,641,5403,5524,220,8425,355,32,183,0.0827,150,0,12,343,0,4,23,3,2,0.7858,0.8756,0.0,0.2797,0.0621,0.0,0.0627,,2457118.0,7279.0,25605.0,129.0,29181125.0,173210.0,,,
2021-01-29,TUR,8854,2787,618,5449,5521,234,8620,209,42,265,0.1673,231,0,27,182,0,1,25,13,3,0.7476,0.8604,0.0569,0.0398,0.1382,0.2857,0.131,,2464030.0,6912.0,25736.0,131.0,29346219.0,165094.0,,,
2021-01-30,TUR,7737,2282,589,4866,4890,136,7601,143,42,110,0.227,82,0,9,134,0,15,17,5,5,0.5249,0.6045,0.0249,0.234,0.265,0.2857,0.2636,,2470901.0,6871.0,25865.0,129.0,29495004.0,148785.0,,,
2021-01-31,TUR,8926,2557,796,5573,5954,147,8779,138,60,154,0.303,90,0,5,133,0,11,28,15,6,0.3702,0.3581,0.0198,0.4272,0.386,0.1667,0.3981,,2477463.0,6562.0,25993.0,128.0,29631422.0,136418.0,,,
2021-02-01,TUR,10043,3140,991,5912,7341,204,9839,134,34,154,0.2024,102,0,12,122,0,1,25,6,2,0.679,0.7312,0.6794,0.0653,0.2474,0.2,0.25,,2485182.0,7719.0,26117.0,124.0,29773125.0,141703.0,,,
2021-02-02,TUR,9690,2657,922,6111,6581,174,9516,256,43,161,0.1438,130,0,4,252,0,4,30,7,2,0.7518,0.8176,0.0,0.1335,0.1302,0.0,0.1316,,2492977.0,7795.0,26237.0,120.0,29913245.0,140120.0,,,
2021-02-03,TUR,8691,2502,698,5491,5756,178,8513,159,38,132,0.1929,101,0,10,149,0,0,33,4,1,0.8178,0.8533,0.0569,0.1177,0.1339,0.25,0.1296,,2501079.0,8102.0,26354.0,117.0,30061437.0,148192.0,,,
2021-02-04,TUR,8403,2516,643,5244,5993,198,8205,157,41,149,0.2071,106,0,18,139,0,1,24,9,7,0.7916,0.8246,0.0,0.505,0.2397,0.0,0.2544,,2508988.0,7909.0,26467.0,113.0,30206504.0,145067.0,,,
2021-02-05,TUR,8619,2529,718,5372,6293,184,8435,110,18,118,0.1406,88,0,20,90,0,0,11,5,2,0.5701,0.7285,0.0001,0.0226,0.119,0.1429,0.1169,,2516889.0,7901.0,26577.0,110.0,30349042.0,142538.0,,,
2021-02-06,TUR,8446,2297,803,5346,6435,121,8325,97,26,91,0.2114,71,0,12,85,0,1,14,3,8,0.7662,0.8608,0.0,0.2075,0.25,0.0,0.2568,,2524786.0,7897.0,26685.0,108.0,30486691.0,137649.0,,,
2021-02-07,TUR,8725,2565,768,5392,6472,140,8585,141,34,459,0.1943,418,0,10,131,0,2,26,5,1,0.6132,0.6915,0.0019,0.0911,0.2128,0.125,0.2209,,2531456.0,6670.0,26797.0,112.0,30616406.0,129715.0,,,
2021-02-08,TUR,8798,2621,646,5531,6407,216,8582,98,43,153,0.305,115,0,5,93,0,1,32,8,2,0.8638,0.9304,0.0,0.319,0.2619,0.0,0.2785,,2539559.0,8103.0,26900.0,103.0,30755784.0,139378.0,,,
2021-02-09,TUR,9107,2481,931,5695,6333,188,8919,148,27,132,0.1543,84,0,11,137,0,2,13,8,4,0.8371,0.9022,0.2792,0.249,0.1579,0.3333,0.1429,,2548195.0,8636.0,26998.0,98.0,30893496.0,137712.0,,,
2021-02-10,TUR,6698,2109,625,3964,4270,171,6527,196,29,189,0.1289,163,0,32,164,0,2,20,7,0,0.7296,0.7826,0.0,0.0602,0.1439,0.0,0.1545,,2556837.0,8642.0,27093.0,95.0,31029363.0,135867.0,,,
2021-02-11,TUR,9148,2450,567,6131,6869,299,8849,125,48,196,0.2775,159,0,5,120,0,1,31,14,2,0.8752,0.9209,0.0244,0.2787,0.2458,0.4444,0.2294,,2564427.0,7590.0,27187.0,94.0,31159676.0,130313.0,,,
2021-02-12,TUR,8576,2374,611,5591,6244,247,8329,183,33,330,0.1528,250,0,18,165,0,2,22,5,4,0.6567,0.7152,0.0375,0.1862,0.1439,0.1667,0.1429,,2572190.0,7763.0,27284.0,97.0,31289306.0,129630.0,,,
2021-02-13,TUR,9866,2639,785,6442,7694,175,9691,211,46,233,0.179,194,0,9,202,0,0,37,8,1,0.6262,0.7994,0.0084,0.4179,0.1897,0.2,0.1893,,2579896.0,7706.0,27377.0,93.0,31412611.0,123305.0,,,
2021-02-14,TUR,7162,2191,535,4436,5275,140,7022,168,36,121,0.1765,90,0,6,162,0,3,24,9,0,0.6595,0.6843,0.898,0.1415,0.1615,0.2,0.16,,2586183.0,6287.0,27471.0,94.0,31516719.0,104108.0,,,
2021-02-15,TUR,11425,3316,794,7315,9079,225,11200,158,33,184,0.1728,124,0,6,152,0,2,22,6,3,0.6855,0.7746,0.1136,0.4742,0.1933,0.2222,0.1909,,2594128.0,7945.0,27562.0,91.0,31633171.0,116452.0,,,
2021-02-16,TUR,9647,2775,741,6131,7287,249,9398,218,42,143,0.1615,117,0,4,214,0,2,27,11,2,0.658,0.7362,0.0,0.1081,0.1786,0.0,0.1829,,2602034.0,7906.0,27652.0,90.0,31748965.0,115794.0,,,
